Age,All_Devs,Python,JavaScript,,,
18,27784,50046,6446,,,
19,26500,47100,6791,,,
20,28012,50000,8942,,,
21,30628,54744,11780,,,
22,35206,60500,15704,,,
23,40252,67732,19000,,,
24,44368,71247,24372,,,
25,48496,75372,27810,,,
26,52000,78876,33515,,,
27,56752,83850,36823,,,
28,59320,87287,39293,,,
29,63200,75000,43437,,,
30,66000,80000,46373,,,
31,72316,85000,52375,,,
32,74928,100000,56674,,,
33,77317,101496,58745,,,
34,78748,105370,58746,,,
35,83752,113640,64583,,,
36,87232,114666,69000,,,
37,88000,114392,68508,,,
38,88508,108254,69996,,,
39,89536,115000,70403,,,
40,92488,117038,73820,,,
41,98935,121991,78833,,,
42,100000,130000,81660,,,
43,100056,124796,77892,,,
44,105000,127962,86243,,,10000
45,100000,123302,80000,,,
46,101633,129240,89313,,,
47,101660,132736,81660,,,
48,108150,142285,92264,,,
49,108964,130771,90000,,,
50,110000,134708,90000,,,
51,108988,138423,81660,,,
52,110000,131407,89240,,,
53,118923,142542,98000,,,
54,115000,152870,95000,,,
55,113117,150000,94000,,,
